Column,Average
mergesort4_10_memory_unsorted_usage,0.0
mergesort4_10_memory_reversed_usage,0.0
mergesort4_10_memory_nearly_sorted_usage,0.0
mergesort4_10_memory_sorted_usage,0.0
mergesort1_10000_times_unsorted_times,1809792.59
mergesort1_10000_times_reversed_times,1822007.24
mergesort1_10000_times_nearly_sorted_times,2133048.43
mergesort1_10000_times_sorted_times,1809525.69
mergesort2_100000_times_unsorted_times,13157501.89
mergesort2_100000_times_reversed_times,12843427.04
mergesort2_100000_times_nearly_sorted_times,17426409.9
mergesort2_100000_times_sorted_times,13160500.47
mergesort3_1000_times_unsorted_times,125203.28
mergesort3_1000_times_reversed_times,124438.51
mergesort3_1000_times_nearly_sorted_times,149606.68
mergesort3_1000_times_sorted_times,122444.12
mergesort3_10000_memory_unsorted_usage,40000.0
mergesort3_10000_memory_reversed_usage,40000.0
mergesort3_10000_memory_nearly_sorted_usage,40000.0
mergesort3_10000_memory_sorted_usage,40000.0
mergesort4_1000_times_unsorted_times,25908.82
mergesort4_1000_times_reversed_times,27691.31
mergesort4_1000_times_nearly_sorted_times,47084.42
mergesort4_1000_times_sorted_times,27839.17
merged_columns_mergesort3_1000000_unsorted_times,138125831.63
merged_columns_mergesort3_1000000_reversed_times,129739462.09
merged_columns_mergesort3_1000000_nearly_sorted_times,185708926.89
merged_columns_mergesort3_1000000_sorted_times,137865244.32
merged_columns_mergesort3_100_unsorted_times,16346.05
merged_columns_mergesort3_100_reversed_times,15414.68
merged_columns_mergesort3_100_nearly_sorted_times,18392.54
merged_columns_mergesort3_100_sorted_times,15943.1
merged_columns_mergesort3_100000_unsorted_times,12660730.87
merged_columns_mergesort3_100000_reversed_times,12364459.92
merged_columns_mergesort3_100000_nearly_sorted_times,17034458.65
merged_columns_mergesort3_100000_sorted_times,12657917.3
merged_columns_mergesort2_100_unsorted_times,18149.58
merged_columns_mergesort2_100_reversed_times,17853.99
merged_columns_mergesort2_100_nearly_sorted_times,20110.69
merged_columns_mergesort2_100_sorted_times,11461.19
merged_columns_mergesort3_10000_unsorted_times,1211794.42
merged_columns_mergesort3_10000_reversed_times,1197823.82
merged_columns_mergesort3_10000_nearly_sorted_times,1557991.91
merged_columns_mergesort3_10000_sorted_times,1209578.75
merged_columns_mergesort4_100000_unsorted_times,3493077.98
merged_columns_mergesort4_100000_reversed_times,3382569.75
merged_columns_mergesort4_100000_nearly_sorted_times,8531548.26
merged_columns_mergesort4_100000_sorted_times,3507214.53
merged_columns_mergesort1_1000_unsorted_times,258843.18
merged_columns_mergesort1_1000_reversed_times,186606.59
merged_columns_mergesort1_1000_nearly_sorted_times,209756.15
merged_columns_mergesort1_1000_sorted_times,180694.35
merged_columns_mergesort4_10000_unsorted_times,317515.11
merged_columns_mergesort4_10000_reversed_times,328260.94
merged_columns_mergesort4_10000_nearly_sorted_times,703781.07
merged_columns_mergesort4_10000_sorted_times,332823.46
merged_columns_mergesort3_10_unsorted_times,1729.54
merged_columns_mergesort3_10_reversed_times,1701.81
merged_columns_mergesort3_10_nearly_sorted_times,1805.03
merged_columns_mergesort3_10_sorted_times,1590.29
merged_columns_mergesort1_10_unsorted_times,9349.43
merged_columns_mergesort1_10_reversed_times,9752.74
merged_columns_mergesort1_10_nearly_sorted_times,8915.44
merged_columns_mergesort1_10_sorted_times,7499.73
merged_columns_mergesort1_100_unsorted_times,82585.24
merged_columns_mergesort1_100_reversed_times,17675.38
merged_columns_mergesort1_100_nearly_sorted_times,18001.31
merged_columns_mergesort1_100_sorted_times,16521.85
merged_columns_mergesort2_10000_unsorted_times,1252376.46
merged_columns_mergesort2_10000_reversed_times,1255144.16
merged_columns_mergesort2_10000_nearly_sorted_times,1608357.79
merged_columns_mergesort2_10000_sorted_times,1257121.38
merged_columns_mergesort1_100000_unsorted_times,18408588.08
merged_columns_mergesort1_100000_reversed_times,18491891.17
merged_columns_mergesort1_100000_nearly_sorted_times,22622234.19
merged_columns_mergesort1_100000_sorted_times,18278773.01
merged_columns_mergesort2_100000_unsorted_times,13037523.01
merged_columns_mergesort2_100000_reversed_times,12745599.5
merged_columns_mergesort2_100000_nearly_sorted_times,17350332.81
merged_columns_mergesort2_100000_sorted_times,13114747.96
merged_columns_mergesort4_100_unsorted_times,2931.52
merged_columns_mergesort4_100_reversed_times,2834.57
merged_columns_mergesort4_100_nearly_sorted_times,4174.73
merged_columns_mergesort4_100_sorted_times,2949.73
merged_columns_mergesort4_10_unsorted_times,213.7
merged_columns_mergesort4_10_reversed_times,203.08
merged_columns_mergesort4_10_nearly_sorted_times,214.63
merged_columns_mergesort4_10_sorted_times,209.6
merged_columns_mergesort4_1000_unsorted_times,37676.82
merged_columns_mergesort4_1000_reversed_times,27599.94
merged_columns_mergesort4_1000_nearly_sorted_times,47204.67
merged_columns_mergesort4_1000_sorted_times,27695.21
merged_columns_mergesort1_10000_unsorted_times,1794920.12
merged_columns_mergesort1_10000_reversed_times,1820127.4
merged_columns_mergesort1_10000_nearly_sorted_times,2145732.28
merged_columns_mergesort1_10000_sorted_times,1818944.66
merged_columns_mergesort2_1000000_unsorted_times,143381760.29
merged_columns_mergesort2_1000000_reversed_times,134255746.62
merged_columns_mergesort2_1000000_nearly_sorted_times,192320041.27
merged_columns_mergesort2_1000000_sorted_times,143605053.42
merged_columns_mergesort1_1000000_unsorted_times,198030223.8
merged_columns_mergesort1_1000000_reversed_times,193309343.73
merged_columns_mergesort1_1000000_nearly_sorted_times,246818116.6
merged_columns_mergesort1_1000000_sorted_times,197971075.89
merged_columns_mergesort2_10_unsorted_times,1452.21
merged_columns_mergesort2_10_reversed_times,1453.68
merged_columns_mergesort2_10_nearly_sorted_times,1513.7
merged_columns_mergesort2_10_sorted_times,1468.75
merged_columns_mergesort4_1000000_unsorted_times,44294663.5
merged_columns_mergesort4_1000000_reversed_times,39825953.22
merged_columns_mergesort4_1000000_nearly_sorted_times,105216186.15
merged_columns_mergesort4_1000000_sorted_times,44280558.47
merged_columns_mergesort2_1000_unsorted_times,166943.53
merged_columns_mergesort2_1000_reversed_times,119723.59
merged_columns_mergesort2_1000_nearly_sorted_times,147583.0
merged_columns_mergesort2_1000_sorted_times,125522.81
merged_columns_mergesort3_1000_unsorted_times,159006.67
merged_columns_mergesort3_1000_reversed_times,120077.51
merged_columns_mergesort3_1000_nearly_sorted_times,145882.45
merged_columns_mergesort3_1000_sorted_times,121049.23
mergesort1_100_memory_unsorted_usage,804.0
mergesort1_100_memory_reversed_usage,804.0
mergesort1_100_memory_nearly_sorted_usage,804.0
mergesort1_100_memory_sorted_usage,804.0
mergesort3_10_memory_unsorted_usage,40.0
mergesort3_10_memory_reversed_usage,40.0
mergesort3_10_memory_nearly_sorted_usage,40.0
mergesort3_10_memory_sorted_usage,40.0
mergesort2_1000_times_unsorted_times,171375.02
mergesort2_1000_times_reversed_times,125498.81
mergesort2_1000_times_nearly_sorted_times,149986.94
mergesort2_1000_times_sorted_times,126479.06
mergesort1_10_times_unsorted_times,10051.74
mergesort1_10_times_reversed_times,7890.94
mergesort1_10_times_nearly_sorted_times,7900.7
mergesort1_10_times_sorted_times,8081.76
mergesort4_100_memory_unsorted_usage,0.0
mergesort4_100_memory_reversed_usage,0.0
mergesort4_100_memory_nearly_sorted_usage,0.0
mergesort4_100_memory_sorted_usage,0.0
mergesort3_100000_times_unsorted_times,12981357.75
mergesort3_100000_times_reversed_times,12731227.3
mergesort3_100000_times_nearly_sorted_times,17230244.83
mergesort3_100000_times_sorted_times,12974806.05
mergesort3_100_memory_unsorted_usage,400.0
mergesort3_100_memory_reversed_usage,400.0
mergesort3_100_memory_nearly_sorted_usage,400.0
mergesort3_100_memory_sorted_usage,400.0
mergesort2_10000_memory_unsorted_usage,40000.0
mergesort2_10000_memory_reversed_usage,40000.0
mergesort2_10000_memory_nearly_sorted_usage,40000.0
mergesort2_10000_memory_sorted_usage,40000.0
mergesort1_1000_memory_unsorted_usage,8000.0
mergesort1_1000_memory_reversed_usage,8000.0
mergesort1_1000_memory_nearly_sorted_usage,8000.0
mergesort1_1000_memory_sorted_usage,8000.0
mergesort4_100_times_unsorted_times,2969.01
mergesort4_100_times_reversed_times,2895.77
mergesort4_100_times_nearly_sorted_times,4125.56
mergesort4_100_times_sorted_times,3663.41
mergesort2_100_memory_unsorted_usage,400.0
mergesort2_100_memory_reversed_usage,400.0
mergesort2_100_memory_nearly_sorted_usage,400.0
mergesort2_100_memory_sorted_usage,400.0
mergesort3_100_times_unsorted_times,16899.94
mergesort3_100_times_reversed_times,11699.36
mergesort3_100_times_nearly_sorted_times,13645.47
mergesort3_100_times_sorted_times,12004.41
mergesort1_1000_times_unsorted_times,195273.99
mergesort1_1000_times_reversed_times,184200.93
mergesort1_1000_times_nearly_sorted_times,205759.74
mergesort1_1000_times_sorted_times,182422.29
mergesort3_1000000_memory_unsorted_usage,4000000.0
mergesort3_1000000_memory_reversed_usage,4000000.0
mergesort3_1000000_memory_nearly_sorted_usage,4000000.0
mergesort3_1000000_memory_sorted_usage,4000000.0
mergesort2_10_times_unsorted_times,1249.83
mergesort2_10_times_reversed_times,1008.81
mergesort2_10_times_nearly_sorted_times,1019.8
mergesort2_10_times_sorted_times,1019.43
mergesort2_100_times_unsorted_times,15179.23
mergesort2_100_times_reversed_times,11664.85
mergesort2_100_times_nearly_sorted_times,12915.11
mergesort2_100_times_sorted_times,11970.57
mergesort1_10000_memory_unsorted_usage,80016.0
mergesort1_10000_memory_reversed_usage,80016.0
mergesort1_10000_memory_nearly_sorted_usage,80016.0
mergesort1_10000_memory_sorted_usage,80016.0
mergesort2_100000_memory_unsorted_usage,400000.0
mergesort2_100000_memory_reversed_usage,400000.0
mergesort2_100000_memory_nearly_sorted_usage,400000.0
mergesort2_100000_memory_sorted_usage,400000.0
mergesort3_1000_memory_unsorted_usage,4000.0
mergesort3_1000_memory_reversed_usage,4000.0
mergesort3_1000_memory_nearly_sorted_usage,4000.0
mergesort3_1000_memory_sorted_usage,4000.0
mergesort2_1000000_memory_unsorted_usage,4000000.0
mergesort2_1000000_memory_reversed_usage,4000000.0
mergesort2_1000000_memory_nearly_sorted_usage,4000000.0
mergesort2_1000000_memory_sorted_usage,4000000.0
mergesort4_1000000_times_unsorted_times,44021345.74
mergesort4_1000000_times_reversed_times,39951225.67
mergesort4_1000000_times_nearly_sorted_times,104423495.72
mergesort4_1000000_times_sorted_times,43874412.66
mergesort1_1000000_memory_unsorted_usage,8000024.0
mergesort1_1000000_memory_reversed_usage,8000024.0
mergesort1_1000000_memory_nearly_sorted_usage,8000024.0
mergesort1_1000000_memory_sorted_usage,8000024.0
mergesort4_100000_times_unsorted_times,3501228.68
mergesort4_100000_times_reversed_times,3410630.09
mergesort4_100000_times_nearly_sorted_times,8459385.42
mergesort4_100000_times_sorted_times,3509693.76
mergesort4_1000_memory_unsorted_usage,0.0
mergesort4_1000_memory_reversed_usage,0.0
mergesort4_1000_memory_nearly_sorted_usage,0.0
mergesort4_1000_memory_sorted_usage,0.0
mergesort4_10_times_unsorted_times,170.34
mergesort4_10_times_reversed_times,166.17
mergesort4_10_times_nearly_sorted_times,167.91
mergesort4_10_times_sorted_times,164.81
mergesort2_10000_times_unsorted_times,1271816.17
mergesort2_10000_times_reversed_times,1250421.37
mergesort2_10000_times_nearly_sorted_times,1630238.59
mergesort2_10000_times_sorted_times,1264757.36
mergesort3_10_times_unsorted_times,1364.51
mergesort3_10_times_reversed_times,1268.8
mergesort3_10_times_nearly_sorted_times,1221.09
mergesort3_10_times_sorted_times,1165.99
mergesort3_100000_memory_unsorted_usage,400000.0
mergesort3_100000_memory_reversed_usage,400000.0
mergesort3_100000_memory_nearly_sorted_usage,400000.0
mergesort3_100000_memory_sorted_usage,400000.0
mergesort1_1000000_times_unsorted_times,194387251.38
mergesort1_1000000_times_reversed_times,190847025.46
mergesort1_1000000_times_nearly_sorted_times,239921843.91
mergesort1_1000000_times_sorted_times,194245619.03
mergesort1_100_times_unsorted_times,66818.21
mergesort1_100_times_reversed_times,17276.38
mergesort1_100_times_nearly_sorted_times,18000.92
mergesort1_100_times_sorted_times,17043.58
mergesort3_10000_times_unsorted_times,1245966.53
mergesort3_10000_times_reversed_times,1229543.97
mergesort3_10000_times_nearly_sorted_times,1599581.86
mergesort3_10000_times_sorted_times,1242229.21
mergesort1_100000_times_unsorted_times,18465491.86
mergesort1_100000_times_reversed_times,18659651.89
mergesort1_100000_times_nearly_sorted_times,22474163.08
mergesort1_100000_times_sorted_times,18402263.2
mergesort2_1000000_times_unsorted_times,144227408.08
mergesort2_1000000_times_reversed_times,134647318.13
mergesort2_1000000_times_nearly_sorted_times,192890350.47
mergesort2_1000000_times_sorted_times,144135377.04
mergesort2_10_memory_unsorted_usage,40.0
mergesort2_10_memory_reversed_usage,40.0
mergesort2_10_memory_nearly_sorted_usage,40.0
mergesort2_10_memory_sorted_usage,40.0
mergesort1_10_memory_unsorted_usage,80.0
mergesort1_10_memory_reversed_usage,80.0
mergesort1_10_memory_nearly_sorted_usage,80.0
mergesort1_10_memory_sorted_usage,80.0
mergesort4_1000000_memory_unsorted_usage,0.0
mergesort4_1000000_memory_reversed_usage,0.0
mergesort4_1000000_memory_nearly_sorted_usage,0.0
mergesort4_1000000_memory_sorted_usage,0.0
mergesort1_100000_memory_unsorted_usage,800020.0
mergesort1_100000_memory_reversed_usage,800020.0
mergesort1_100000_memory_nearly_sorted_usage,800020.0
mergesort1_100000_memory_sorted_usage,800020.0
mergesort2_1000_memory_unsorted_usage,4000.0
mergesort2_1000_memory_reversed_usage,4000.0
mergesort2_1000_memory_nearly_sorted_usage,4000.0
mergesort2_1000_memory_sorted_usage,4000.0
mergesort3_1000000_times_unsorted_times,140935024.07
mergesort3_1000000_times_reversed_times,133799735.13
mergesort3_1000000_times_nearly_sorted_times,189288229.72
mergesort3_1000000_times_sorted_times,140932067.68
mergesort4_10000_times_unsorted_times,316039.62
mergesort4_10000_times_reversed_times,335700.7
mergesort4_10000_times_nearly_sorted_times,701359.98
mergesort4_10000_times_sorted_times,335820.1
mergesort4_10000_memory_unsorted_usage,0.0
mergesort4_10000_memory_reversed_usage,0.0
mergesort4_10000_memory_nearly_sorted_usage,0.0
mergesort4_10000_memory_sorted_usage,0.0
mergesort4_100000_memory_unsorted_usage,0.0
mergesort4_100000_memory_reversed_usage,0.0
mergesort4_100000_memory_nearly_sorted_usage,0.0
mergesort4_100000_memory_sorted_usage,0.0
